age,sex,race,priors_count,charge_degree,risk_score,risk_label,reoffended
57,Male,Hispanic,1,F,1,Low,0
38,Female,Caucasian,2,F,5,Medium,1
66,Male,African-American,3,F,1,Low,0
45,Male,Caucasian,8,M,4,Low,1
52,Female,Other,0,M,3,Low,1
32,Male,African-American,13,F,10,High,1
37,Male,African-American,2,M,9,High,1
39,Male,Caucasian,0,F,4,Low,1
26,Male,African-American,9,F,9,High,1
45,Male,Caucasian,2,F,3,Low,0
23,Male,African-American,0,F,3,Low,1
34,Male,African-American,2,M,2,Low,0
23,Female,African-American,1,M,4,Low,0
36,Male,Other,2,M,3,Low,1
50,Male,Caucasian,1,F,1,Low,0
37,Female,Caucasian,0,M,3,Low,0
44,Male,Caucasian,4,M,4,Low,0
35,Female,African-American,23,F,9,High,1
24,Male,Other,5,F,5,Medium,1
26,Male,African-American,2,F,10,High,1
27,Male,African-American,0,M,2,Low,0
28,Female,African-American,0,F,8,High,0
43,Male,Caucasian,11,F,5,Medium,1
28,Female,Caucasian,7,F,9,High,1
38,Male,African-American,2,F,1,Low,0
27,Male,Caucasian,2,M,4,Low,0
28,Female,African-American,1,F,9,High,0
56,Male,Caucasian,7,F,1,Low,1
38,Male,African-American,15,F,9,High,0
28,Male,African-American,2,M,5,Medium,0
45,Male,African-American,3,F,6,Medium,0
28,Male,Hispanic,0,M,2,Low,0
61,Male,Caucasian,1,F,1,Low,0
51,Female,Caucasian,0,M,1,Low,1
51,Male,Caucasian,0,M,2,Low,0
36,Male,Other,1,M,1,Low,1
48,Male,African-American,0,F,1,Low,0
37,Male,Caucasian,4,F,3,Low,1
30,Female,African-American,2,F,7,Medium,0
41,Female,African-American,5,M,6,Medium,0
27,Male,African-American,11,F,10,High,1
37,Male,African-American,0,M,1,Low,0
33,Male,Other,4,F,4,Low,1
54,Male,African-American,11,F,9,High,0
23,Male,African-American,2,F,9,High,0
26,Female,African-American,2,F,4,Low,1
41,Male,African-American,0,M,1,Low,0
52,Male,Caucasian,0,F,1,Low,0
43,Male,Caucasian,13,F,4,Low,1
52,Male,African-American,0,F,4,Low,0
28,Male,Caucasian,1,F,1,Low,0
30,Male,African-American,11,M,9,High,1
28,Male,Caucasian,1,F,5,Medium,0
22,Male,African-American,0,F,4,Low,0
30,Male,African-American,4,F,2,Low,0
25,Male,Hispanic,4,F,4,Low,0
31,Male,Caucasian,0,F,8,High,1
37,Male,Caucasian,0,F,2,Low,1
32,Male,African-American,14,F,9,High,0
26,Male,African-American,4,M,8,High,0
53,Male,Caucasian,1,M,1,Low,0
28,Male,African-American,25,F,8,High,1
44,Male,Caucasian,8,M,5,Medium,1
25,Male,African-American,0,F,3,Low,0
22,Male,Caucasian,1,M,8,High,1
37,Female,Other,0,M,1,Low,0
40,Female,Other,3,F,2,Low,0
36,Male,Caucasian,8,F,7,Medium,1
30,Male,Caucasian,4,F,2,Low,0
22,Male,African-American,3,M,9,High,1
24,Female,Caucasian,1,M,7,Medium,1
27,Male,African-American,3,M,2,Low,1
31,Female,Hispanic,0,M,2,Low,0
23,Male,Hispanic,1,F,6,Medium,1
23,Female,Caucasian,5,F,5,Medium,1
24,Male,Hispanic,0,M,8,High,0
29,Male,African-American,1,M,3,Low,0
20,Male,African-American,1,F,8,High,1
30,Male,African-American,2,F,6,Medium,1
39,Male,Other,0,F,1,Low,0
27,Male,African-American,4,F,4,Low,0
31,Male,Caucasian,2,M,4,Low,0
37,Female,African-American,2,F,1,Low,0
20,Male,African-American,0,F,8,High,0
22,Male,Hispanic,0,F,7,Medium,0
52,Female,African-American,0,F,1,Low,0
23,Female,African-American,0,F,4,Low,1
48,Female,African-American,0,F,2,Low,0
66,Male,African-American,8,F,6,Medium,1
25,Male,Caucasian,0,F,5,Medium,0
27,Male,Caucasian,0,F,6,Medium,1
30,Male,African-American,11,F,7,Medium,1
22,Male,African-American,3,M,10,High,1
22,Female,Caucasian,1,F,3,Low,0
35,Male,African-American,2,F,10,High,0
32,Male,Caucasian,2,F,4,Low,0
41,Female,African-American,2,M,3,Low,0
25,Female,Other,0,F,2,Low,0
44,Male,African-American,24,M,7,Medium,0
52,Male,African-American,3,F,6,Medium,1
43,Male,African-American,0,F,1,Low,0
37,Male,Caucasian,3,F,1,Low,0
28,Male,African-American,3,M,4,Low,1
70,Male,Caucasian,1,M,1,Low,0
54,Male,Caucasian,6,F,2,Low,1
46,Male,Caucasian,3,F,4,Low,0
21,Male,African-American,0,M,9,High,1
26,Male,African-American,1,M,8,High,1
38,Male,Hispanic,3,F,1,Low,1
34,Male,Caucasian,5,M,4,Low,0
19,Male,African-American,1,F,5,Medium,1
34,Male,African-American,5,M,4,Low,0
23,Male,Caucasian,0,F,5,Medium,1
34,Male,African-American,5,F,4,Low,1
30,Male,African-American,2,F,1,Low,0
39,Male,African-American,6,F,3,Low,1
24,Male,Other,0,F,3,Low,0
33,Male,Caucasian,1,M,3,Low,1
58,Male,Caucasian,2,F,3,Low,0
21,Female,African-American,0,M,6,Medium,0
21,Male,African-American,1,F,5,Medium,0
23,Male,African-American,4,M,8,High,1
62,Male,Caucasian,0,F,1,Low,0
27,Male,African-American,4,M,8,High,1
37,Male,Caucasian,5,F,3,Low,0
43,Male,Other,2,F,2,Low,1
32,Female,African-American,5,F,1,Low,0
23,Male,Hispanic,0,F,3,Low,0
27,Male,African-American,0,M,1,Low,0
44,Male,Caucasian,0,M,1,Low,1
28,Male,Caucasian,3,M,3,Low,1
42,Female,Caucasian,0,F,2,Low,0
24,Male,Other,9,F,10,High,1
27,Male,African-American,0,F,2,Low,0
20,Male,African-American,0,F,10,High,1
51,Female,Caucasian,0,M,1,Low,0
56,Male,Caucasian,0,M,1,Low,0
29,Male,African-American,7,F,9,High,0
20,Male,African-American,0,F,9,High,1
53,Male,Caucasian,6,F,1,Low,0
27,Male,Caucasian,8,F,5,Medium,0
24,Male,African-American,2,F,9,High,1
53,Male,Caucasian,36,F,6,Medium,1
28,Male,Caucasian,2,M,3,Low,1
45,Male,African-American,1,F,1,Low,0
21,Male,Hispanic,3,F,5,Medium,0
36,Female,African-American,0,F,7,Medium,0
25,Female,Caucasian,2,M,4,Low,1
23,Female,Hispanic,1,M,3,Low,0
28,Male,Caucasian,1,F,5,Medium,0
21,Female,African-American,0,F,8,High,1
36,Male,Caucasian,0,M,3,Low,0
24,Male,African-American,0,F,3,Low,0
28,Male,African-American,3,F,6,Medium,1
30,Male,Other,1,F,2,Low,1
29,Male,African-American,0,F,1,Low,0
30,Female,Caucasian,0,M,6,Medium,0
51,Male,Hispanic,1,M,1,Low,0
33,Male,Other,3,F,1,Low,0
25,Female,African-American,2,F,6,Medium,0
32,Male,African-American,12,F,9,High,1
23,Male,African-American,1,F,6,Medium,0
47,Male,African-American,3,F,3,Low,0
32,Female,Hispanic,1,F,3,Low,1
37,Male,Caucasian,0,F,1,Low,0
19,Male,African-American,2,F,10,High,1
27,Male,Hispanic,0,M,8,High,0
39,Male,Other,0,M,1,Low,0
21,Female,Caucasian,0,F,6,Medium,0
69,Male,Caucasian,0,M,1,Low,0
21,Male,Caucasian,2,F,6,Medium,0
26,Male,African-American,6,M,10,High,1
22,Male,Caucasian,0,F,4,Low,0
23,Female,African-American,0,F,5,Medium,1
49,Male,African-American,3,F,5,Medium,0
29,Male,African-American,2,M,4,Low,0
60,Female,Caucasian,0,M,1,Low,0
26,Female,African-American,0,M,10,High,0
23,Male,African-American,3,F,10,High,1
34,Male,Hispanic,2,M,5,Medium,1
20,Female,Other,1,F,4,Low,0
36,Male,Hispanic,1,F,3,Low,0
30,Male,Caucasian,0,F,4,Low,0
21,Male,African-American,1,F,3,Low,0
22,Male,Caucasian,2,M,6,Medium,1
57,Male,African-American,18,F,8,High,0
21,Male,African-American,4,F,9,High,1
21,Male,African-American,0,F,5,Medium,1
34,Male,Caucasian,1,M,1,Low,0
50,Female,Caucasian,1,M,1,Low,1
40,Male,Caucasian,0,F,7,Medium,1
25,Male,African-American,7,F,8,High,1
53,Female,Caucasian,1,M,1,Low,0
24,Female,African-American,0,F,4,Low,0
42,Male,African-American,1,F,1,Low,0
28,Male,African-American,1,M,3,Low,0
24,Male,Caucasian,1,M,4,Low,0
26,Male,African-American,6,F,8,High,1
22,Male,African-American,4,F,9,High,1
21,Male,Caucasian,3,M,7,Medium,0
37,Male,African-American,23,F,9,High,1
35,Male,African-American,2,F,5,Medium,0
53,Male,African-American,2,F,1,Low,0
60,Male,African-American,1,F,1,Low,0
29,Male,African-American,7,F,4,Low,0
48,Male,Caucasian,23,F,8,High,1
52,Female,Caucasian,0,M,1,Low,0
27,Male,African-American,12,F,8,High,1
28,Male,African-American,5,F,9,High,0
33,Male,Caucasian,3,M,3,Low,0
28,Female,Hispanic,0,F,2,Low,0
47,Male,Caucasian,5,F,10,High,1
36,Male,African-American,14,F,7,Medium,1
29,Male,African-American,2,F,5,Medium,0
22,Male,African-American,0,M,9,High,1
26,Male,African-American,6,F,7,Medium,0
25,Male,Caucasian,0,F,2,Low,0
68,Male,Caucasian,2,F,1,Low,0
56,Male,African-American,5,F,3,Low,0
27,Male,African-American,9,F,8,High,1
52,Male,Caucasian,4,F,1,Low,1
32,Male,African-American,3,F,2,Low,0
60,Male,Other,4,F,1,Low,0
23,Male,Hispanic,1,M,3,Low,0
39,Female,Caucasian,0,M,6,Medium,0
56,Male,Caucasian,0,M,1,Low,0
22,Female,African-American,0,F,7,Medium,0
27,Female,African-American,1,F,2,Low,1
53,Male,African-American,11,F,6,Medium,0
25,Male,Caucasian,0,M,2,Low,1
21,Male,Hispanic,0,M,3,Low,0
22,Male,Caucasian,0,F,3,Low,0
58,Female,Caucasian,2,M,1,Low,0
31,Male,African-American,7,M,3,Low,1
22,Male,Caucasian,1,F,5,Medium,1
28,Male,African-American,8,F,6,Medium,1
42,Male,Other,1,F,1,Low,0
20,Male,African-American,0,F,7,Medium,1
29,Male,Caucasian,0,M,6,Medium,1
29,Male,African-American,8,F,10,High,0
58,Male,African-American,21,M,7,Medium,1
22,Male,African-American,3,F,7,Medium,0
48,Male,Hispanic,1,M,1,Low,1
37,Male,Caucasian,0,F,4,Low,0
57,Male,African-American,1,F,5,Medium,1
27,Male,Caucasian,3,M,1,Low,0
26,Male,African-American,3,F,4,Low,0
24,Male,Caucasian,3,F,8,High,1
33,Male,Caucasian,0,F,1,Low,0
29,Male,African-American,2,F,6,Medium,0
24,Female,African-American,3,F,10,High,1
19,Male,Caucasian,1,F,10,High,1
36,Male,Caucasian,2,M,1,Low,0
24,Female,Caucasian,0,F,5,Medium,0
34,Male,Caucasian,0,M,1,Low,0
25,Male,Hispanic,2,F,5,Medium,1
20,Male,African-American,1,F,10,High,1
28,Male,Hispanic,2,M,5,Medium,1
24,Male,African-American,1,M,2,Low,1
61,Male,Caucasian,4,F,1,Low,0
50,Female,African-American,3,F,2,Low,0
30,Male,African-American,1,M,1,Low,0
38,Male,African-American,5,F,3,Low,0
24,Male,Caucasian,0,M,1,Low,0
45,Male,African-American,16,F,2,Low,0
46,Female,African-American,2,F,10,High,1
41,Male,Caucasian,0,M,1,Low,1
20,Male,Other,0,F,8,High,1
27,Male,African-American,13,M,8,High,1
51,Female,African-American,16,F,8,High,0
26,Male,African-American,1,M,6,Medium,1
29,Male,African-American,3,F,5,Medium,1
52,Male,Caucasian,6,F,5,Medium,1
28,Male,Caucasian,1,F,4,Low,1
34,Female,Native American,4,F,7,Medium,1
55,Male,African-American,5,F,3,Low,1
26,Male,African-American,10,F,9,High,1
28,Male,African-American,5,F,10,High,0
63,Male,Caucasian,2,F,1,Low,0
42,Male,African-American,0,F,1,Low,0
23,Male,African-American,6,F,6,Medium,0
54,Male,African-American,28,F,9,High,1
35,Male,African-American,8,F,7,Medium,1
24,Female,African-American,6,F,9,High,1
54,Male,African-American,2,M,1,Low,0
58,Male,African-American,12,M,6,Medium,1
23,Male,Caucasian,1,M,5,Medium,1
35,Male,African-American,1,M,2,Low,0
20,Male,African-American,1,F,10,High,1
51,Male,Caucasian,0,F,1,Low,0
24,Male,Hispanic,0,F,10,High,0
37,Male,Caucasian,3,F,2,Low,0
47,Male,Caucasian,3,F,1,Low,0
34,Male,Caucasian,4,F,6,Medium,1
56,Male,Caucasian,0,F,1,Low,0
34,Male,Hispanic,4,F,1,Low,1
59,Male,Caucasian,1,F,1,Low,1
35,Male,Asian,0,F,6,Medium,0
58,Male,Hispanic,1,F,1,Low,0
29,Male,Hispanic,2,M,4,Low,0
24,Female,Caucasian,6,F,9,High,1
21,Male,Caucasian,2,M,9,High,1
26,Male,African-American,2,M,9,High,0
50,Male,Asian,5,F,7,Medium,1
26,Male,African-American,1,F,2,Low,0
30,Female,Caucasian,0,M,2,Low,0
29,Male,Caucasian,6,F,9,High,1
29,Male,Caucasian,0,M,4,Low,1
54,Male,African-American,0,M,1,Low,0
29,Male,African-American,4,F,4,Low,1
59,Female,Caucasian,0,M,1,Low,0
38,Male,African-American,0,F,5,Medium,0
22,Female,Hispanic,2,F,5,Medium,1
29,Male,African-American,4,F,7,Medium,1
27,Male,Caucasian,1,M,3,Low,1
26,Male,Hispanic,7,F,5,Medium,1
52,Male,Hispanic,20,F,3,Low,0
66,Male,African-American,33,F,6,Medium,1
27,Male,Caucasian,2,F,5,Medium,0
51,Male,Caucasian,1,M,1,Low,0
35,Male,Caucasian,1,F,2,Low,0
26,Male,African-American,1,F,7,Medium,0
52,Male,Caucasian,4,M,3,Low,0
35,Female,African-American,12,M,2,Low,0
48,Male,Other,12,F,5,Medium,0
26,Female,African-American,0,M,2,Low,0
48,Female,Caucasian,0,M,1,Low,0
30,Male,Hispanic,7,M,4,Low,0
28,Male,Other,2,M,1,Low,0
33,Male,African-American,2,M,3,Low,0
34,Female,African-American,6,F,4,Low,0
25,Male,Other,0,M,1,Low,0
59,Male,African-American,10,F,7,Medium,1
29,Male,African-American,5,F,5,Medium,1
24,Male,Caucasian,0,F,2,Low,0
48,Male,Caucasian,1,F,7,Medium,1
55,Male,African-American,0,M,8,High,1
52,Male,African-American,4,M,5,Medium,0
20,Male,African-American,0,F,4,Low,1
25,Male,Caucasian,4,F,4,Low,1
24,Male,Caucasian,0,F,2,Low,0
23,Male,Caucasian,0,M,9,High,0
27,Male,Caucasian,6,F,4,Low,0
25,Male,African-American,1,M,3,Low,1
31,Male,African-American,0,F,2,Low,0
25,Male,African-American,6,F,4,Low,1
32,Male,Caucasian,1,F,1,Low,1
21,Male,Caucasian,0,F,3,Low,1
37,Male,Other,1,F,1,Low,0
25,Male,Caucasian,0,F,3,Low,0
32,Male,Hispanic,20,F,10,High,0
35,Male,African-American,0,F,7,Medium,0
42,Male,African-American,14,F,7,Medium,1
24,Male,Caucasian,9,M,10,High,1
22,Male,Caucasian,6,F,10,High,1
21,Male,Hispanic,0,F,6,Medium,1
47,Male,Caucasian,1,M,1,Low,0
27,Male,African-American,5,F,9,High,1
43,Male,Hispanic,2,M,1,Low,1
46,Male,Caucasian,2,F,6,Medium,1
44,Male,African-American,1,M,3,Low,0
27,Male,African-American,0,F,5,Medium,0
23,Male,Caucasian,2,F,2,Low,0
50,Female,Hispanic,1,F,1,Low,0
42,Male,African-American,8,F,5,Medium,0
58,Male,African-American,6,F,6,Medium,0
26,Male,African-American,3,F,6,Medium,0
48,Female,Other,0,F,1,Low,0
39,Male,African-American,3,F,3,Low,1
21,Male,African-American,3,F,5,Medium,1
63,Male,Caucasian,1,M,1,Low,0
22,Male,African-American,3,F,7,Medium,1
50,Male,African-American,3,M,3,Low,0
38,Male,African-American,0,F,1,Low,0
41,Male,Caucasian,1,F,6,Medium,0
28,Male,African-American,16,F,8,High,1
30,Female,African-American,0,M,3,Low,0
23,Male,African-American,1,F,5,Medium,0
25,Male,Caucasian,2,F,4,Low,1
40,Male,Caucasian,5,F,4,Low,0
24,Male,Hispanic,8,F,8,High,0
27,Male,African-American,5,M,4,Low,1
44,Male,Caucasian,11,M,3,Low,0
35,Female,African-American,6,F,2,Low,1
42,Male,Caucasian,0,M,1,Low,0
38,Male,African-American,15,F,7,Medium,0
26,Male,Hispanic,4,F,6,Medium,0
25,Female,African-American,0,M,3,Low,0
24,Male,Caucasian,1,F,4,Low,0
64,Male,Hispanic,1,F,1,Low,0
49,Female,Caucasian,2,M,1,Low,1
50,Male,Caucasian,5,F,1,Low,1
28,Male,Caucasian,8,F,6,Medium,1
66,Male,Caucasian,0,M,1,Low,1
46,Female,Caucasian,0,M,1,Low,0
30,Male,African-American,5,F,6,Medium,1
22,Female,Caucasian,0,M,3,Low,0
23,Male,Caucasian,1,M,4,Low,0
30,Male,Other,0,M,6,Medium,1
24,Male,African-American,10,F,10,High,1
31,Male,Hispanic,0,M,1,Low,0
31,Male,Other,1,F,2,Low,0
21,Male,African-American,4,F,7,Medium,1
28,Male,African-American,4,F,8,High,0
25,Male,African-American,0,M,3,Low,0
21,Female,Caucasian,0,F,7,Medium,0
27,Male,African-American,0,M,2,Low,0
20,Male,Hispanic,0,M,2,Low,1
32,Male,Hispanic,1,F,1,Low,0
24,Female,Caucasian,0,F,5,Medium,0
20,Male,African-American,1,F,3,Low,0
31,Male,African-American,3,M,8,High,1
27,Male,African-American,3,M,7,Medium,1
59,Male,African-American,17,F,5,Medium,1
40,Male,African-American,0,F,2,Low,0
22,Male,African-American,11,F,10,High,1
38,Female,African-American,1,F,1,Low,0
36,Male,Hispanic,1,M,10,High,1
30,Male,African-American,1,M,7,Medium,0
27,Male,Caucasian,6,F,6,Medium,1
43,Male,African-American,1,M,1,Low,0
59,Female,Caucasian,0,M,1,Low,0
37,Male,Caucasian,2,M,1,Low,0
28,Male,African-American,5,M,7,Medium,1
38,Male,Caucasian,0,F,1,Low,0
22,Male,African-American,0,F,8,High,1
43,Male,Hispanic,1,M,1,Low,0
25,Male,African-American,4,F,5,Medium,1
51,Male,Caucasian,0,M,1,Low,0
30,Male,Hispanic,6,F,5,Medium,1
29,Male,Caucasian,2,M,2,Low,1
28,Male,African-American,10,F,3,Low,0
26,Male,African-American,6,M,8,High,0
55,Male,African-American,9,M,3,Low,1
23,Female,Caucasian,3,F,10,High,0
22,Female,African-American,0,M,5,Medium,0
19,Female,Caucasian,2,F,10,High,1
31,Male,African-American,1,M,1,Low,0
29,Male,African-American,0,M,1,Low,0
61,Male,African-American,15,F,6,Medium,1
24,Male,African-American,4,F,10,High,1
31,Male,Hispanic,0,M,2,Low,0
20,Male,African-American,4,F,9,High,1
26,Male,Caucasian,3,F,7,Medium,1
27,Male,Caucasian,5,M,9,High,0
25,Male,Caucasian,1,F,5,Medium,0
23,Male,Caucasian,3,F,5,Medium,1
38,Male,African-American,0,F,1,Low,0
27,Male,African-American,18,F,9,High,1
35,Female,Caucasian,0,F,3,Low,1
22,Male,Other,0,F,9,High,0
58,Female,African-American,4,F,2,Low,1
57,Female,Caucasian,0,M,4,Low,1
21,Male,African-American,0,F,3,Low,0
22,Female,African-American,0,F,8,High,0
30,Male,African-American,0,F,2,Low,0
24,Male,Caucasian,1,F,10,High,1
22,Male,Caucasian,2,F,4,Low,1
29,Male,Caucasian,3,F,4,Low,1
30,Male,African-American,8,F,8,High,1
31,Female,African-American,10,F,6,Medium,0
45,Female,Caucasian,1,F,6,Medium,0
23,Male,African-American,4,F,7,Medium,0
39,Male,Caucasian,2,F,2,Low,1
31,Male,African-American,0,F,8,High,1
22,Male,African-American,1,F,4,Low,1
27,Female,African-American,9,F,2,Low,1
27,Male,African-American,13,F,7,Medium,1
38,Male,Caucasian,1,F,1,Low,1
31,Male,African-American,23,F,10,High,1
47,Male,African-American,20,F,9,High,0
22,Male,African-American,3,F,7,Medium,0
35,Male,African-American,1,M,9,High,1
23,Male,Hispanic,2,M,6,Medium,1
65,Male,African-American,2,M,2,Low,1
35,Male,African-American,0,M,4,Low,0
33,Female,African-American,0,F,3,Low,0
53,Male,Caucasian,1,M,1,Low,0
52,Male,Hispanic,0,F,1,Low,0
21,Male,African-American,0,F,5,Medium,0
37,Male,African-American,11,F,4,Low,0
